,CONSUMPTION,AVG_PRICE
2011-01-01,0.0,0.0
2011-01-02,10.684758557971293,2.0
2011-01-03,28.79324934159846,2.0
2011-01-04,35.432636378198126,2.0
2011-01-05,48.04647910111438,2.0
2011-01-06,57.032603543257686,2.0
2011-01-07,57.534423845854754,2.0
2011-01-08,57.84635238027956,2.0
2011-01-09,64.35445483239499,2.0
2011-01-10,74.60183160385333,2.0
2011-01-11,87.83578132115987,2.0
2011-01-12,100.48092634334284,2.0
2011-01-13,101.9358701182088,2.0
2011-01-14,121.41507507176115,2.0
2011-01-15,122.5147138069212,2.0
2011-01-16,124.88305965740655,2.0
2011-01-17,126.89429318505395,2.0
2011-01-18,135.4563584192978,2.0
2011-01-19,141.95906324627543,2.0
2011-01-20,169.62575442207188,2.0
2011-01-21,170.04487212800373,2.0
2011-01-22,170.80316881164669,2.0
2011-01-23,177.26767367687333,2.0
2011-01-24,179.82246142434684,2.0
2011-01-25,180.77160734891044,2.0
2011-01-26,181.2550581034102,2.0
2011-01-27,201.33823080377513,2.0
2011-01-28,210.75010828285576,2.0
2011-01-29,233.9522339228486,2.0
2011-01-30,237.91003044384928,2.0
2011-01-31,258.0736677204631,2.0
2011-02-01,262.11166076575546,2.0
2011-02-02,263.3624407434955,2.0
2011-02-03,271.27047396606486,2.0
2011-02-04,277.84035863035126,2.0
2011-02-05,280.6407336484284,2.0
2011-02-06,282.72567914648687,2.0
2011-02-07,287.1999025481688,2.0
2011-02-08,299.1408982032756,2.0
2011-02-09,306.55422816500084,2.0
2011-02-10,312.1635072457284,2.0
2011-02-11,315.02423050579006,2.0
2011-02-12,316.3632404587171,2.0
2011-02-13,319.00915899453327,2.0
2011-02-14,323.87786520671415,2.0
2011-02-15,351.3229121538986,2.0
2011-02-16,357.5352996345425,2.0
2011-02-17,360.5247005981991,2.0
2011-02-18,365.9680688276752,2.0
2011-02-19,385.0823803137879,2.0
2011-02-20,390.7928342756227,2.0
2011-02-21,400.31757878887623,2.0
2011-02-22,401.05398313309746,2.0
2011-02-23,401.2389329402203,2.0
2011-02-24,404.4779190681878,2.0
2011-02-25,405.7105031826229,2.0
2011-02-26,412.3367383070292,2.0
2011-02-27,435.08146199835153,2.0
2011-02-28,443.17846405929043,2.0
2011-03-01,443.90593849719676,2.0
2011-03-02,453.59706542994564,2.0
2011-03-03,474.333220881471,2.0
2011-03-04,476.90614087384745,2.0
2011-03-05,481.82168862855934,2.0
2011-03-06,487.29340994282967,2.0
2011-03-07,488.23537074087017,2.0
2011-03-08,522.1183500973921,2.0
2011-03-09,536.0813955936133,2.0
2011-03-10,539.237195117853,2.0
2011-03-11,542.3839019151167,2.0
2011-03-12,597.913664304289,2.0
2011-03-13,600.0535715202902,2.0
2011-03-14,610.0273149542744,2.0
2011-03-15,612.5009021517119,2.0
2011-03-16,615.2723099772915,2.0
2011-03-17,621.5336890971347,2.0
2011-03-18,622.8921635274862,2.0
2011-03-19,625.2604477151827,2.0
2011-03-20,629.3132387053431,2.0
2011-03-21,637.8050033287864,2.0
2011-03-22,647.0364517180462,2.0
2011-03-23,659.8627385541246,2.0
2011-03-24,671.4891142071166,2.0
2011-03-25,681.3923929691329,2.0
2011-03-26,685.2457834651148,2.0
2011-03-27,690.4597625456569,2.0
2011-03-28,698.314551871586,2.0
2011-03-29,702.9828315976607,2.0
2011-03-30,722.2496948473504,2.0
2011-03-31,751.6139905315869,2.0
2011-04-01,759.597816037413,2.0
2011-04-02,783.4193784988576,2.0
2011-04-03,802.6031823457784,2.0
2011-04-04,805.3706125202245,2.0
2011-04-05,809.5461464666465,2.0
2011-04-06,811.3952313804841,2.0
2011-04-07,815.1288215145821,2.0
2011-04-08,823.9462117269597,2.0
2011-04-09,824.5691179830669,2.0
2011-04-10,830.924908923399,2.0
2011-04-11,837.3086441399523,2.0
2011-04-12,849.6407672297099,2.0
2011-04-13,858.3310925142221,2.0
2011-04-14,863.7009006112353,2.0
2011-04-15,873.7822146708468,2.0
2011-04-16,877.4663880759879,2.0
2011-04-17,901.0669895445182,2.0
2011-04-18,910.5593969169213,2.0
2011-04-19,915.110114699069,2.0
2011-04-20,923.345837688217,2.0
2011-04-21,927.8652144282778,2.0
2011-04-22,936.1120755341252,2.0
2011-04-23,943.9771175415461,2.0
2011-04-24,948.8741535374711,2.0
2011-04-25,961.7067007514613,2.0
2011-04-26,974.1520099396423,2.0
2011-04-27,983.3805782362626,2.0
2011-04-28,988.6675074133755,2.0
2011-04-29,988.962089517088,2.0
2011-04-30,1011.933966101003,2.0
2011-05-01,1023.0694826636918,2.0
2011-05-02,1032.6051905304423,2.0
